discard-changes	DISCARD CHANGES	ANNULER LES MODIFICATIONS	DESCARTAR CAMBIOS	ÄNDERUNGEN VERWERFEN	BUANG PERUBAHAN	SCARTA MODIFICHE	変更を破棄	변경 사항 버리기	BUANG PERUBAHAN	WIJZIGINGEN VERWERPEN	DESCARTAR ALTERAÇÕES	ยกเลิกการเปลี่ยนแปลง	ITAPON ANG MGA PAGBABAGO	DEĞİŞİKLİKLERİ İPTAL ET	放弃更改
end-current-game-and-apply-changes	END CURRENT GAME AND APPLY CHANGES	TERMINER LE MATCH EN COURS ET APPLIQUER LES MODIFICATIONS	TERMINAR EL JUEGO ACTUAL Y APLICAR CAMBIOS	AKTUELLES SPIEL BEENDEN UND ÄNDERUNGEN ÜBERNEHMEN	AKHIRI PERTANDINGAN DAN TERAPKAN PERUBAHAN	TERMINA PARTITA E APPLICA MODIFICHE	現在の試合を終了して変更を適用	현재 경기 종료 및 변경 사항 적용	TAMATKAN PERLAWANAN SEMASA DAN GUNA PERUBAHAN	HUIDIGE WEDSTRIJD BEËINDIGEN EN WIJZIGINGEN TOEPASSEN	TERMINAR JOGO ATUAL E APLICAR ALTERAÇÕES	สิ้นสุดเกมปัจจุบันและใช้การเปลี่ยนแปลง	TAPUSIN ANG KASALUKUYANG LARO AT ILAPAT ANG MGA PAGBABAGO	MEVCUT OYUNU BİTİR VE DEĞİŞİKLİKLERİ UYGULA	结束当前比赛并应用所有更改
end-current-game-and-apply-change	END CURRENT GAME AND APPLY CHANGE	TERMINER LE MATCH EN COURS ET APPLIQUER LE CHANGEMENT	TERMINAR EL JUEGO ACTUAL Y APLICAR CAMBIO	AKTUELLES SPIEL BEENDEN UND ÄNDERUNG ÜBERNEHMEN	AKHIRI PERTANDINGAN DAN TERAPKAN PERUBAHAN	TERMINA PARTITA E APPLICA MODIFICA	現在の試合を終了して変更を適用	현재 경기 종료 및 변경 사항 적용	TAMATKAN PERLAWANAN SEMASA DAN GUNA PERUBAHAN	HUIDIGE WEDSTRIJD BEËINDIGEN EN WIJZIGING TOEPASSEN	TERMINAR JOGO ATUAL E APLICAR ALTERAÇÃO	สิ้นสุดเกมปัจจุบันและใช้การเปลี่ยนแปลง	TAPUSIN ANG KASALUKUYANG LARO AT ILAPAT ANG PAGBABAGO	MEVCUT OYUNU BİTİR VE DEĞİŞİKLİĞİ UYGULA	结束当前比赛并应用更改
keep-current-game-and-apply-change	KEEP CURRENT GAME AND APPLY CHANGE	GARDER LE MATCH EN COURS ET APPLIQUER LE CHANGEMENT	MANTENER EL JUEGO ACTUAL Y APLICAR CAMBIO	AKTUELLES SPIEL BEHALTEN UND ÄNDERUNG ÜBERNEHMEN	LANJUTKAN PERTANDINGAN DAN TERAPKAN PERUBAHAN	MANTIENI PARTITA E APPLICA MODIFICA	現在の試合を続けて変更を適用	현재 경기 유지 및 변경 사항 적용	KEKALKAN PERLAWANAN SEMASA DAN GUNA PERUBAHAN	HUIDIGE WEDSTRIJD BEWAREN EN WIJZIGING TOEPASSEN	MANTER JOGO ATUAL E APLICAR ALTERAÇÃO	เก็บเกมปัจจุบันและใช้การเปลี่ยนแปลง	PANATILIHIN ANG KASALUKUYANG LARO AT ILAPAT ANG PAGBABAGO	MEVCUT OYUNU DEVAM ETTİR VE DEĞİŞİKLİĞİ UYGULA	保留当前比赛并应用更改
ok	OK	OK	OK	OK	OKE	OK	OK	확인	OK	OK	OK	ตกลง	OK	TAMAM	确定
confirm-score	Is this score correct? Confirm with chief referee.	Ce score est-il correct ? Confirmer avec l'arbitre en chef.	¿Es correcto este puntaje? Confirma con el árbitro principal.	Ist dieser Spielstand korrekt? Mit dem Hauptschiedsrichter bestätigen.	Apakah skor ini sudah benar? Konfirmasi dengan wasit kepala.	Il punteggio è corretto? Conferma con il capo arbitro.	このスコアは正しいですか？ 主審に確認してください。	이 점수가 맞습니까? 주심과 확인하세요.	Adakah markah ini betul? Sahkan dengan ketua pengadil.	Is deze score correct? Bevestig met de hoofdscheidsrechter.	Este resultado está correto? Confirme com o árbitro principal.	คะแนนนี้ถูกต้องหรือไม่? ยืนยันกับหัวหน้าผู้ตัดสิน	Tama ba ang puntosing ito? Kumpirmahin sa punong referee.	Bu skor doğru mu? Başhakem ile onaylayın.	此比分是否正确？ 请与主裁判确认。
yes	YES	OUI	SI	JA	YA	SÌ	はい	예	YA	JA	SIM	ใช่	OO	EVET	是
no	NO	NON	NO	NEIN	TIDAK	NO	いいえ	아니요	TIDAK	NEE	NÃO	ไม่	HINDI	HAYIR	否
equal	EQUAL	ÉGAL	IGUAL	GLEICH	SERI	PARI	同点	동등	SAMA	GELIJK	IGUAL	เท่ากัน	PANTAY	EŞİT	相等
refresh	REFRESH	RAFRAÎCHIR	RECARGAR	AKTUALISIEREN	SEGARKAN	AGGIORNA	更新	새로고침	MUAT SEMULA	VERNIEUWEN	ATUALIZAR	รีเฟรช	I-REFRESH	YENİLE	刷新
refreshing	REFRESHING...	RAFRAÎCHISSANT...	RECARGANDO...	WIRD AKTUALISIERT...	MENYEGARKAN...	AGGIORNAMENTO...	更新中...	새로고침 중...	MEMUAT SEMULA...	VERNIEUWEN...	A ATUALIZAR...	กำลังรีเฟรช...	NIRI-REFRESH...	YENİLENİYOR...	刷新中...
settings	SETTINGS	PARAMÈTRES	CONFIGURACIÓN	EINSTELLUNGEN	PENGATURAN	IMPOSTAZIONI	設定	설정	TETAPAN	INSTELLINGEN	DEFINIÇÕES	การตั้งค่า	MGA SETTING	AYARLAR	设置
none	None	Aucun	Ninguno	Keine	Tidak Ada	Nessuno	なし	없음	Tiada	Geen	Nenhum	ไม่มี	Wala	Yok	无
game-number-error | next-game-number-error | error	Error ({1})	Erreur ({1})	Error ({1})	Fehler ({1})	Galat ({1})	Errore ({1})	エラー ({1})	오류 ({1})	Ralat ({1})	Fout ({1})	Erro ({1})	ข้อผิดพลาด ({1})	Error ({1})	Hata ({1})	错误（{1}）
last-game-next-game-last-game | two-games-last-game	Last Game: {1}	Dernier Match: {1}	Último partido: {1}	Letztes Spiel: {1}	Pertandingan Terakhir: {1}	Ultima Partita: {1}	前の試合: {1}	이전 경기: {1}	Perlawanan Lepas: {1}	Vorige Wedstrijd: {1}	Último Jogo: {1}	เกมที่แล้ว: {1}	Huling Laro: {1}	Önceki Oyun: {1}	上场：{1}
last-game-next-game-next-game | two-games-next-game	Next Game: {1}	Prochain Match: {1}	Próximo Juego: {1}	Nächstes Spiel: {1}	Pertandingan Berikutnya: {1}	Prossima Partita: {1}	次の試合: {1}	다음 경기: {1}	Perlawanan Seterusnya: {1}	Volgende Wedstrijd: {1}	Próximo Jogo: {1}	เกมถัดไป: {1}	Susunod na Laro: {1}	Sonraki Oyun: {1}	， 下场：{1}
black-team-white-team-black-team	Black Team: {1}	Équipe Noire: {1}	Equipo Negro: {1}	Schwarze Mannschaft: {1}	Tim Hitam: {1}	Squadra Nera: {1}	黒チーム: {1}	검정 팀: {1}	Pasukan Hitam: {1}	Donker Team: {1}	Equipa Preta: {1}	ทีมดำ: {1}	Koponan ng Itim: {1}	Siyah Takım: {1}	黑队：{1}
black-team-white-team-white-team	White Team: {1}	Équipe Blanche: {1}	Equipo Blanco: {1}	Weiße Mannschaft: {1}	Tim Putih: {1}	Squadra Bianca: {1}	白チーム: {1}	흰 팀: {1}	Pasukan Putih: {1}	Licht Team: {1}	Equipa Branca: {1}	ทีมขาว: {1}	Koponan ng Puti: {1}	Beyaz Takım: {1}	白队：{1}
game-length-ot-allowed-half-length | game-config-half-length	Half Length: {1}	Durée de la période: {1}	Duración de una mitad: {1}	Halbzeitdauer: {1}	Durasi Babak: {1}	Durata Tempo: {1}	ハーフ時間: {1}	전반 시간: {1}	Panjang Separuh: {1}	Duur Helft: {1}	Duração do Tempo: {1}	ความยาวครึ่ง: {1}	Haba ng Kalahati: {1}	Devre Süresi: {1}	半场时长：{1}
game-length-ot-allowed-half-time-length | game-config-half-time-length	Half Time Length: {1}	Durée de la mi-temps: {1}	Duración del medio tiempo: {1}	Halbzeitpausendauer: {1}	Durasi Jeda Babak: {1}	Durata Intervallo: {1}	ハーフタイム時間: {1}	하프타임 시간: {1}	Panjang Rehat Separuh Masa: {1}	Duur Rust: {1}	Duração do Intervalo: {1}	ความยาวพักครึ่ง: {1}	Haba ng Pahinga: {1}	Devre Arası Süresi: {1}	中场时长：{1}
game-length-ot-allowed-overtime-allowed | game-config-overtime-allowed	Overtime Allowed: {1}	Prolongations Autorisées: {1}	Tiempo extra habilitado: {1}	Verlängerung Erlaubt: {1}	Perpanjangan Waktu Diizinkan: {1}	Tempi Suppl. Consentiti: {1}	延長戦許可: {1}	연장전 허용: {1}	Masa Tambahan Dibenarkan: {1}	Verlenging Toegestaan: {1}	Prorrogação Permitida: {1}	อนุญาตต่อเวลาพิเศษ: {1}	Overtime Pinahintulutan: {1}	Uzatma İzin Verildi: {1}	允许加时赛：{1}
overtime-details-pre-overtime-break-length	Pre-Overtime Break Length: {1}	Durée de la pause avant les prolongations: {1}	Duración del descanso previo al tiempo extra: {1}	Pause vor Verlängerung: {1}	Durasi Jeda Sebelum Perpanjangan Waktu: {1}	Durata Pausa Pre-Supplementari: {1}	延長前休憩時間: {1}	연장전 전 휴식 시간: {1}	Panjang Rehat Pra-Masa Tambahan: {1}	Duur Pauze Voor Verlenging: {1}	Duração da Pausa Pré-Prorrogação: {1}	ความยาวพักก่อนต่อเวลาพิเศษ: {1}	Haba ng Pahinga Bago Overtime: {1}	Uzatma Öncesi Ara Süresi: {1}	加时前休息时长：{1}
overtime-details-overtime-half-length	Overtime Half Length: {1}	Durée de la période des prolongations: {1}	Duración de la mitad del tiempo extra: {1}	Halbzeitdauer Verlängerung: {1}	Durasi Babak Perpanjangan Waktu: {1}	Durata Tempo Supplementare: {1}	延長ハーフ時間: {1}	연장 전반 시간: {1}	Panjang Separuh Masa Tambahan: {1}	Duur Helft Verlenging: {1}	Duração do Tempo de Prorrogação: {1}	ความยาวครึ่งต่อเวลาพิเศษ: {1}	Haba ng Kalahati sa Overtime: {1}	Uzatma Devre Süresi: {1}	加时赛半场时长：{1}
overtime-details-overtime-half-time-length	Overtime Half Time Length: {1}	Durée de la mi-temps des prolongations: {1}	Duración del medio tiempo extra: {1}	Halbzeitpausendauer Verlängerung: {1}	Durasi Jeda Perpanjangan Waktu: {1}	Durata Intervallo Supplementare: {1}	延長ハーフタイム時間: {1}	연장 하프타임 시간: {1}	Panjang Rehat Separuh Masa Tambahan: {1}	Duur Rust Verlenging: {1}	Duração do Intervalo de Prorrogação: {1}	ความยาวพักครึ่งต่อเวลาพิเศษ: {1}	Haba ng Pahinga sa Overtime: {1}	Uzatma Devre Arası Süresi: {1}	加时赛中场时长：{1}
sd-allowed | game-config-sudden-death-allowed	Sudden Death Allowed: {1}	Mort Subite Autorisée: {1}	Muerte súbita habilitada: {1}	Plötzlicher Tod Erlaubt: {1}	Sudden Death Diizinkan: {1}	Morte Improvvisa Consentita: {1}	サドンデス許可: {1}	서든 데스 허용: {1}	Sudden Death Dibenarkan: {1}	Plotselinge Dood Toegestaan: {1}	Morte Súbita Permitida: {1}	อนุญาตตายกะทันหัน: {1}	Sudden Death Pinahintulutan: {1}	Ani Ölüm İzin Verildi: {1}	允许突然死亡：{1}
pre-sd	Pre-Sudden-Death Break Length: {1}	Durée de la pause avant la mort subite: {1}	Duración del descanso previo a la muerte súbita: {1}	Pause vor Plötzlichem Tod: {1}	Durasi Jeda Sebelum Sudden Death: {1}	Durata Pausa Pre-Morte Improvvisa: {1}	サドンデス前休憩時間: {1}	서든 데스 전 휴식 시간: {1}	Panjang Rehat Pra-Sudden Death: {1}	Duur Pauze Voor Plotselinge Dood: {1}	Duração da Pausa Pré-Morte Súbita: {1}	ความยาวพักก่อนตายกะทันหัน: {1}	Haba ng Pahinga Bago Sudden Death: {1}	Ani Ölüm Öncesi Ara Süresi: {1}	突然死亡前休息时长：{1}
team-to-len	Team Timeout Duration: {1}	Durée du Temps Mort d'Équipe: {1}	Duración del tiempo muerto de equipo: {1}	Mannschafts-Auszeit Dauer: {1}	Durasi Time-out Tim: {1}	Durata Time-out di Squadra: {1}	チームタイムアウト時間: {1}	팀 타임아웃 시간: {1}	Tempoh Masa Rehat Pasukan: {1}	Duur Team Time-out: {1}	Duração do Tempo de Equipa: {1}	ระยะเวลาพักทีม: {1}	Tagal ng Timeout ng Koponan: {1}	Takım Molası Süresi: {1}	队伍暂停时长：{1}
time-btwn-games	Nominal Time Between Games: {1}	Temps Entre les Matchs: {1}	Tiempo nominal entre partidos: {1}	Nominale Spielpause: {1}	Waktu Nominal Antar Pertandingan: {1}	Tempo Nominale fra Partite: {1}	試合間基準時間: {1}	경기 간 기준 시간: {1}	Masa Nominal Antara Perlawanan: {1}	Nominale Tijd Tussen Wedstrijden: {1}	Tempo Nominal Entre Jogos: {1}	เวลาระหว่างเกมตามกำหนด: {1}	Nominal na Oras sa Pagitan ng mga Laro: {1}	Oyunlar Arası Nominal Süre: {1}	名义场间时间：{1}
min-brk-btwn-games	Minimum Time Between Games: {1}	Temps Minimum Entre les Matchs: {1}	Tiempo mínimo entre partidos: {1}	Minimale Spielpause: {1}	Waktu Minimum Antar Pertandingan: {1}	Tempo Minimo fra Partite: {1}	試合間最小時間: {1}	경기 간 최소 시간: {1}	Masa Minimum Antara Perlawanan: {1}	Minimale Tijd Tussen Wedstrijden: {1}	Tempo Mínimo Entre Jogos: {1}	เวลาระหว่างเกมขั้นต่ำ: {1}	Pinakamaliit na Oras sa Pagitan ng mga Laro: {1}	Oyunlar Arası Minimum Süre: {1}	最短场间时间：{1}
select-event	SELECT EVENT	SÉLECTIONNER LE EVÉNEMENT	SELECCIONAR EVENTO	VERANSTALTUNG AUSWÄHLEN	PILIH ACARA	SELEZIONA EVENTO	大会を選択	대회 선택	PILIH ACARA	EVENEMENT SELECTEREN	SELECIONAR EVENTO	เลือกกิจกรรม	PUMILI NG KAGANAPAN	ETKİNLİK SEÇ	选择赛事
select-court	SELECT COURT	SÉLECTIONNER LE TERRAIN	SELECCIONAR CANCHA	FELD AUSWÄHLEN	PILIH LAPANGAN	SELEZIONA CAMPO	コートを選択	코트 선택	PILIH GELANGGANG	BAAN SELECTEREN	SELECIONAR CAMPO	เลือกสนาม	PUMILI NG KORTE	SAHA SEÇ	选择球场
select-game	SELECT GAME	SÉLECTIONNER LE MATCH	SELECCIONAR PARTIDO	SPIEL AUSWÄHLEN	PILIH PERTANDINGAN	SELEZIONA PARTITA	試合を選択	경기 선택	PILIH PERLAWANAN	WEDSTRIJD SELECTEREN	SELECIONAR JOGO	เลือกเกม	PUMILI NG LARO	OYUN SEÇ	选择比赛
add-warning	ADD WARNING	AJOUTER UN AVERT.	AÑADIR AVISO	VERWARNUNG HINZUFÜGEN	TAMBAH PERINGATAN	AGGIUNGI AMMONIZIONE	警告追加	경고 추가	TAMBAH AMARAN	WAARSCHUWING TOEVOEGEN	ADICIONAR AVISO	เพิ่มการเตือน	MAGDAGDAG NG BABALA	UYARI EKLE	添加警告
add-foul	ADD FOUL	AJOUTER UNE FAUTE	AÑADIR FALTA	FOUL HINZUFÜGEN	TAMBAH PELANGGARAN	AGGIUNGI FALLO	反則追加	반칙 추가	TAMBAH KESALAHAN	OVERTREDING TOEVOEGEN	ADICIONAR FALTA	เพิ่มฟาวล์	MAGDAGDAG NG POUL	FAUL EKLE	添加犯规
start-now	START NOW	COMMENCER MAINTENANT	EMPEZAR	JETZT STARTEN	MULAI SEKARANG	INIZIA ORA	今すぐ開始	지금 시작	MULA SEKARANG	NU STARTEN	INICIAR AGORA	เริ่มเลย	MAGSIMULA NA	ŞİMDİ BAŞLAT	立即开始
end-timeout	END TIMEOUT	FIN DU TEMPS MORT	TERMINAR TIEMPO MUERTO	AUSZEIT BEENDEN	AKHIRI TIME-OUT	FINE TIME-OUT	タイムアウト終了	타임아웃 종료	TAMAT MASA REHAT	TIME-OUT BEËINDIGEN	TERMINAR TEMPO DE EQUIPA	สิ้นสุดพักทีม	TAPUSIN ANG TIMEOUT	MOLAYI BİTİR	结束暂停
warnings	WARNINGS	AVERTISSEMENTS (AVERT.)	AVISOS	VERWARNUNGEN	PERINGATAN	AMMONIZIONI	警告	경고	AMARAN	WAARSCHUWINGEN	AVISOS	การเตือน	MGA BABALA	UYARILAR	警告
penalties	PENALTIES	PÉNALITÉS	EXPULSIONES	STRAFZEITEN	PENALTI	PENALITÀ	退水	페널티	PENALTI	UITSLUITINGEN	PENALIDADES	โทษ	MGA PARUSA	CEZALAR	罚时记录
dark-score-line-1 | light-score-line-1	SCORE	SCORE	PUNTUACIÓN	TORE	SKOR	PUNTEGGIO	得点	점수	MARKAH	SCORE	RESULTADO	คะแนน	PUNTOS	SKOR	比分
dark-score-line-2 | light-score-line-2 | end-timeout-line-2 | ref-timeout-line-1 | ref-timeout-line-2 | dark-timeout-line-1 | dark-timeout-line-2 | light-timeout-line-1 | light-timeout-line-2	{1}	{1}	{1}	{1}	{1}	{1}	{1}	{1}	{1}	{1}	{1}	{1}	{1}	{1}	{1}
black-penalties	BLACK PENALTIES	PÉNALITÉS NOIR	EXPULSIONES E. NEGRO	STRAFZEITEN SCHWARZ	PENALTI HITAM	PENALITÀ NERI	黒チーム退水	검정 팀 페널티	PENALTI HITAM	UITSLUITINGEN DONKER	PENALIDADES PRETA	โทษทีมดำ	MGA PARUSA NG ITIM	SİYAH CEZALAR	黑队罚时记录
white-penalties	WHITE PENALTIES	PÉNALITÉS BLANC	EXPULSIONES E. BLANCO	STRAFZEITEN WEISS	PENALTI PUTIH	PENALITÀ BIANCHI	白チーム退水	흰 팀 페널티	PENALTI PUTIH	UITSLUITINGEN LICHT	PENALIDADES BRANCA	โทษทีมขาว	MGA PARUSA NG PUTI	BEYAZ CEZALAR	白队罚时记录
final-score	Please enter the final score	Veuillez entrer le score final	Por favor ingrese la puntuación final	Bitte Endergebnis eingeben	Masukkan skor akhir	Inserisci il punteggio finale	最終スコアを入力してください	최종 점수를 입력하세요	Sila masukkan markah akhir	Voer de eindstand in	Introduza o resultado final	กรุณาป้อนคะแนนสุดท้าย	Pakilagay ang panghuling puntos	Lütfen final skorunu girin	请输入最终比分
confirmation-count-down	Note: The unchanged score will be automatically confirmed in {1}	Note : Le score inchangé sera automatiquement confirmé dans {1}	Nota: La puntuación no modificada se confirmará automáticamente en {1}	Hinweis: Der unveränderte Spielstand wird in {1} automatisch bestätigt	Catatan: Skor yang tidak berubah akan dikonfirmasi secara otomatis dalam {1}	Nota: Il punteggio invariato sarà confermato automaticamente tra {1}	注意: 変更されていないスコアは {1} 後に自動的に確定されます	참고: 변경되지 않은 점수는 {1} 후 자동으로 확인됩니다	Nota: Markah yang tidak diubah akan disahkan secara automatik dalam {1}	Opmerking: De ongewijzigde score wordt automatisch bevestigd over {1}	Nota: O resultado inalterado será confirmado automaticamente em {1}	หมายเหตุ: คะแนนที่ไม่เปลี่ยนแปลงจะได้รับการยืนยันอัตโนมัติใน {1}	Tandaan: Ang hindi nabagong puntos ay awtomatikong makukumpirma sa loob ng {1}	Not: Değiştirilmemiş skor {1} içinde otomatik olarak onaylanacaktır	注意：未修改的比分将在 {1} 后自动确认
end-timeout-line-1	END	FIN	TERMINAR	AUSZEIT	AKHIRI	FINE	終了	종료	TAMAT	TIME-OUT	TERMINAR	สิ้นสุด	TAPUSIN ANG	MOLAYI	结束
switch-to	SWITCH TO	PASSER À	CAMBIAR A	WECHSELN ZU	BERALIH KE	PASSA A	切替	전환	TUKAR KE	OVERSCHAKELEN NAAR	MUDAR PARA	สลับไป	LUMIPAT SA	GEÇİŞ YAP	切换至
ref	REF	ARBITRE	ÁRBITRO	SCHIRI	WASIT	ARBITRO	審判	심판	PENGADIL	SCHEIDSRECHTER	ÁRBITRO	ผู้ตัดสิน	REF	HAKEM	裁判
penalty-shot-line-1	PENALTY	TIR DE	TIRO	STRAF-	TEMBAKAN	TIRO DI	ペナルティー	페널티	TEMBAKAN	STRAF-	TIRO DE	การยิง	PENALTY	CEZA	罚球
penalty-shot-line-2	SHOT	PÉNALITÉ	PENAL	STOSS	PENALTI	RIGORE	ショット	샷	PENALTI	SCHOT	PENALIDADE	ลูกโทษ	SHOT	ATIŞI	射门
pen-shot	PEN SHOT	TIR DE PÉNALITÉ	TIRO PENAL	STRAFSTOSS	TBK PENALTI	TIRO RIG.	ペナルティーショット	페널티 샷	TMBN PENALTI	STRAFSCHOT	TIRO PENAL	ยิงโทษ	PENALTY SHOT	CEZA ATIŞI	罚球射门
served | penalty-served	Served	Servi	Servido	Verbüßt	Dijalani	Scontata	執行済	집행됨	Dilaksanakan	Uitgezeten	Cumprida	รับโทษแล้ว	Naisilbi	Tamamlandı	已执行
penalty-pending	Pending	En Attente	Pendiente	Ausstehend	Menunggu	In attesa	保留中	대기 중	Menunggu	In behandeling	Pendente	รอดำเนินการ	Naghihintay	Beklemede	待执行
penalty-total-dismissal	Dismissed	Expulsé	Descartado	Platzverweis	Dikeluarkan	Espulso	退場	완전 퇴장	Disingkirkan	Definitief uitgesloten	Expulso	ไล่ออก	Tinanggal	İhraç Edildi	已取消资格
infraction	Infraction: {1}	Faute: {1}	Infracción: {1}	Verstoß: {1}	Pelanggaran: {1}	Infrazione: {1}	反則: {1}	위반: {1}	Pelanggaran: {1}	Overtreding: {1}	Infração: {1}	การฝ่าฝืน: {1}	Paglabag: {1}	İhlal: {1}	犯规类型：{1}
one-game	Game: {1}	Match: {1}	Juego: {1}	Spiel: {1}	Pertandingan: {1}	Partita: {1}	試合: {1}	경기: {1}	Perlawanan: {1}	Wedstrijd: {1}	Jogo: {1}	เกม: {1}	Laro: {1}	Oyun: {1}	比赛：{1}
teams	{1} Team: {2} {3} Team: {4}	Équipe {1}: {2} Équipe {3}: {4}	{1} Equipo: {2} {3} Equipo: {4}	{1} Mannschaft: {2} {3} Mannschaft: {4}	Tim {1}: {2} Tim {3}: {4}	Squadra {1}: {2} Squadra {3}: {4}	{1}チーム: {2} {3}チーム: {4}	{1} 팀: {2} {3} 팀: {4}	Pasukan {1}: {2} Pasukan {3}: {4}	{1} Team: {2} {3} Team: {4}	Equipa {1}: {2} Equipa {3}: {4}	{1}: {2} {3}: {4}	Koponan ng {1}: {2} Koponan ng {3}: {4}	{1} Takım: {2} {3} Takım: {4}	{1}：{2} {3}：{4}
team-timeouts-per-half	Team Timeouts Allowed Per Half: {1}	Temps Morts d'Équipe Autorisés par Période: {1}	Tiempos muertos de equipo permitidos por mitad: {1}	Mannschafts-Auszeiten pro Halbzeit: {1}	Time-out Tim yang Diizinkan Per Babak: {1}	Time-out di Squadra Consentiti per Tempo: {1}	1ハーフあたりのチームタイムアウト数: {1}	전반당 팀 타임아웃 허용 횟수: {1}	Masa Rehat Pasukan Dibenarkan Per Separuh: {1}	Team Time-outs Toegestaan Per Helft: {1}	Tempos de Equipa Permitidos Por Tempo: {1}	พักทีมที่อนุญาตต่อครึ่ง: {1}	Mga Timeout ng Koponan na Pinahintulutan Bawat Kalahati: {1}	Devre Başına İzin Verilen Takım Molaları: {1}	每半场允许队伍暂停次数：{1}
team-timeouts-per-game	Team Timeouts Allowed Per Game: {1}	Temps Morts d'Équipe Autorisés par Match: {1}	Tiempos muertos de equipo permitidos por juego: {1}	Mannschafts-Auszeiten pro Spiel: {1}	Time-out Tim yang Diizinkan Per Pertandingan: {1}	Time-out di Squadra Consentiti per Partita: {1}	1試合あたりのチームタイムアウト数: {1}	경기당 팀 타임아웃 허용 횟수: {1}	Masa Rehat Pasukan Dibenarkan Per Perlawanan: {1}	Team Time-outs Toegestaan Per Wedstrijd: {1}	Tempos de Equipa Permitidos Por Jogo: {1}	พักทีมที่อนุญาตต่อเกม: {1}	Mga Timeout ng Koponan na Pinahintulutan Bawat Laro: {1}	Oyun Başına İzin Verilen Takım Molaları: {1}	每场允许队伍暂停次数：{1}
stop-clock-last-2	Stop Clock in Last 2 Minutes: {1}	Arrêter le temps dans les 2 dernières minutes: {1}	Detener reloj en los Últimos 2 minutos: {1}	Uhr in den letzten 2 Minuten stoppen: {1}	Hentikan Jam di 2 Menit Terakhir: {1}	Ferma Orologio negli Ultimi 2 Minuti: {1}	残り2分でクロック停止: {1}	마지막 2분 시계 정지: {1}	Hentikan Jam 2 Minit Terakhir: {1}	Klok Stoppen in Laatste 2 Minuten: {1}	Parar Relógio nos Últimos 2 Minutos: {1}	หยุดนาฬิกาใน 2 นาทีสุดท้าย: {1}	Ihinto ang Orasan sa Huling 2 Minuto: {1}	Son 2 Dakikada Saati Durdur: {1}	最后2分钟停钟：{1}
ref-list-chief-ref	Chief Ref: {1}	Arbitre en Chef: {1}	Árbitro principal: {1}	Hauptschiedsrichter: {1}	Wasit Kepala: {1}	Capo Arbitro: {1}	主審: {1}	주심: {1}	Ketua Pengadil: {1}	Hoofdscheidsrechter: {1}	Árbitro Principal: {1}	หัวหน้าผู้ตัดสิน: {1}	Punong Ref: {1}	Başhakem: {1}	主裁判：{1}
ref-list-timer	Timer: {1}	Chronométreur: {1}	Timer: {1}	Zeitnehmer: {1}	Pencatat Waktu: {1}	Cronometrista: {1}	タイムキーパー: {1}	계시원: {1}	Pencatat Masa: {1}	Tijdwaarnemer: {1}	Controlador de Tempo: {1}	กรรมการจับเวลา: {1}	Timer: {1}	Zaman Ayarlayıcı: {1}	计时员：{1}
ref-list-water-ref-1	Water Ref 1: {1}	Arbitre Aquatique 1: {1}	Árbitro de agua 1: {1}	Wasserschiedsrichter 1: {1}	Wasit Air 1: {1}	Arbitro di Vasca 1: {1}	水中審判1: {1}	수중 심판 1: {1}	Pengadil Air 1: {1}	Waterscheidsrechter 1: {1}	Árbitro Aquático 1: {1}	ผู้ตัดสินในน้ำ 1: {1}	Water Ref 1: {1}	Su Hakemi 1: {1}	水下裁判1：{1}
ref-list-water-ref-2	Water Ref 2: {1}	Arbitre Aquatique 2: {1}	Árbitro de agua 2: {1}	Wasserschiedsrichter 2: {1}	Wasit Air 2: {1}	Arbitro di Vasca 2: {1}	水中審判2: {1}	수중 심판 2: {1}	Pengadil Air 2: {1}	Waterscheidsrechter 2: {1}	Árbitro Aquático 2: {1}	ผู้ตัดสินในน้ำ 2: {1}	Water Ref 2: {1}	Su Hakemi 2: {1}	水下裁判2：{1}
ref-list-water-ref-3	Water Ref 3: {1}	Arbitre Aquatique 3: {1}	Árbitro de agua 3: {1}	Wasserschiedsrichter 3: {1}	Wasit Air 3: {1}	Arbitro di Vasca 3: {1}	水中審判3: {1}	수중 심판 3: {1}	Pengadil Air 3: {1}	Waterscheidsrechter 3: {1}	Árbitro Aquático 3: {1}	ผู้ตัดสินในน้ำ 3: {1}	Water Ref 3: {1}	Su Hakemi 3: {1}	水下裁判3：{1}
team-ref-list-referees	Referees: {1}	Arbitres: {1}	Árbitros: {1}	Schiedsrichter: {1}	Wasit: {1}	Arbitri: {1}	審判員: {1}	심판: {1}	Pengadil: {1}	Scheidsrechters: {1}	Árbitros: {1}	ผู้ตัดสิน: {1}	Mga Referee: {1}	Hakemler: {1}	裁判员：{1}
team-ref-list-t-s-keeper	T/S Keeper: {1}	Chronométreur/Marqueur: {1}	Cronometrador/Marcador: {1}	Zeitnehmer/Anschreiber: {1}	Pencatat Waktu/Skor: {1}	Cronometrista/Segnapunti: {1}	記録員: {1}	기록원/계시원: {1}	Pencatat Masa/Markah: {1}	Tijdwaarnemer/Scorer: {1}	Controlador de Tempo/Pontuação: {1}	กรรมการจับเวลา/บันทึกคะแนน: {1}	Tagapanatili ng Puntos: {1}	Zaman/Skor Tutanlar: {1}	计时/记分员：{1}
